,phrase,sentiment values
0,"funni , highli enjoy",0.94444
1,"whose promis , rather preciou , premis undercut amateurish execut",0.31944
2,tonga peopl,0.5
3,"'s fairli impress debut director , charl stone iii .",0.81944
4,final come sharp focu,0.68056
5,"gener virtu , despit lot involv talent , seem done number",0.65278
6,ceo,0.5
7,auster,0.5
8,strang move even corniest hackney contriv,0.625
9,comic adept ensembl,0.72222
10,transit,0.5
11,", roadsid cafe permeat vincent 's day",0.52778
12,"intend , er , spirit piec",0.5
13,film founder lack empathi social milieu - rich new york intelligentsia -,0.33333
14,oedekerk 's realiz childhood dream martial-art flick,0.55556
15,preced,0.56944
16,first frame,0.5
17,scratch ( turntabl ) particular,0.5
18,franchis,0.5
19,western ear,0.5
20,'ve lost weight,0.68056
21,jagjit,0.38889
22,'s still much play,0.5
23,even pass interest event,0.52778
24,tear cue,0.47222
25,bend current techniqu servic vision past faith architectur glori command open space citi two centuri ago,0.51389
26,", ash wednesday essenti devoid interest charact even halfway intrigu plot .",0.36111
27,abras,0.34722
28,rare film,0.55556
29,"best movi perform sinc , well , perform",0.86111
30,"'ve patienc , great reward .",0.69444
31,sl2 .,0.56944
32,... someth,0.625
33,"appar design reveri memori regret , thing 'll regret rememb experi sit .",0.26389
34,decent laugh,0.63889
35,"\ \/ daphn , 're buff \ \/ fred think 's tough \ \/ velma - wow , 've lost weight",0.38889
36,"thought , rever portrait",0.80556
37,'d expect .,0.56944
38,worthi consider talent,0.77778
39,"gang , despit graviti subject matter , often fun watch good spaghetti western .",0.40278
40,one recent memori,0.52778
41,"urban landscap detail sign kiosk ,",0.70833
42,life-chang chanc encount,0.5
43,dicken ' word writer-director dougla mcgrath 's even-ton direct,0.72222
44,"compens larg part off-the-wal dialogu , visual play outlandish idea",0.73611
45,we craven 's,0.5
46,decid lack spontan execut dearth real poignanc,0.22222
47,brink major chang,0.61111
48,deft pace master,0.58333
49,air pay cabl offer modest amus one noth els watch,0.5
50,extravaganza,0.66667
51,power grace one greatest natur sportsmen modern time,0.91667
52,'s tremend move,0.93056
53,enjoy random live dream,0.79167
54,adult mind,0.625
55,pictur health boundless energi day die .,0.63889
56,discourag let slide,0.375
57,appeal job,0.66667
58,even better fellowship . scene cinemat perfect steal heart away,0.8472200000000001
59,enamor creation,0.33333
60,"end n't work ... movi work well 'm almost recommend , anyway -- mayb everybodi , certainli peopl curios movi go right , step wrong .",0.51389
61,cross paul thoma anderson 's magnolia david lynch 's mulholland dr.,0.5
62,suffer overli deliber pace uneven narr momentum,0.18056
63,banal,0.375
64,"one 's told countless filmmak italian - , chines - , irish - , latin - , indian - , russian -",0.41667
65,none excel cast given air breath,0.38889
66,probabl would n't crazi great-grandson 's movi split pretti much way .,0.40278
67,"meet ,",0.5
68,"weird reson actor role ,",0.45833
69,unlik . disturb . disgust . without redeem valu whatsoev .,0.59722
70,remind first world,0.5
71,movi hit first scene,0.77778
72,deem import enough make film someon hire portray richard dawson,0.5
73,multi-dimension love stori,0.77778
74,"one collect peni , breast flatul",0.083333
75,romant comedi,0.55556
76,show moment promis ultim succumb clich pat storytel,0.375
77,allow charact confront problem openli honestli,0.77778
78,"amus , interest confirm",0.875
79,mean,0.5
80,"steadfast , hoity-to convict",0.41667
81,reflect charact 's instabl,0.61111
82,press succumb,0.41667
83,esther kahn demand,0.4305600000000001
84,bad,0.5
85,find inspir fring american underground,0.69444
86,wondrou love stori year,0.95833
87,alway someth likabl marqui de sade,0.55556
88,two win lead perform,0.88889
89,"would n't exist without preced yiddish theater , whose jolli , fun-for-fun 's - sake commun spirit goe essenc broadway .",0.56944
90,done better bring stori spider-man big screen,0.69444
91,action joke,0.55556
92,majid,0.5
93,toler divers,0.44444
94,urban jungl need peopl surviv,0.47222
95,stori stripe,0.5
96,"much splash 's releas , rememb long afterward",0.27778
97,catsup,0.5
98,stilt unconvinc,0.25
99,bollywood film,0.5
100,", well , funnier .",0.29167
101,grab old ladi,0.44444
102,'s pretti good execut stori 's lot richer one hollywood action screenwrit usual come .,0.80556
103,root psycholog,0.5
104,super bowl,0.52778
105,fall back mani tried-and-tru shenanigan hardli distinguish next teen comedi .,0.20833
106,"'s also ,",0.5
107,n't know 's,0.34722
108,realli alien ` bartlebi ' effect make ?,0.41667
109,turd,0.069444
110,though lack utter author genr gem,0.36111
111,theatric air,0.55556
112,elabor twist charact,0.38889
113,think 's shake classic way kenneth branagh baz luhrmann,0.41667
114,"appropri titl , given heavy-handed drama",0.55556
115,"left scruffi , dopey old hanna-barbera charm",0.41667
116,bombast ultim empti,0.33333
117,filmmak tian zhuangzhuang triumphantli return narr filmmak visual master work quiet power .,0.91667
118,thank clever write sprightli act,0.81944
119,think groceri list way,0.54167
120,actual charm triumph intend under-12 audienc concern .,0.86111
121,cinema goer,0.5
122,10 year,0.5
123,disappoint,0.15278
124,peopl econom fring margaret thatcher 's ruinou legaci,0.5
125,"` qatsi ' trilog , direct godfrey reggio ,",0.51389
126,sum fear almost imposs follow -- 's someth cringe-induc see american footbal stadium nuke pop entertain .,0.16667
127,", pictur make becalm .",0.52778
128,aid africa noth part sceneri .,0.45833
129,away,0.44444
130,'ll bliss exhaust,0.48611
131,littl,0.47222
132,remark access haunt film .,0.68056
133,look fulli ` render ' pixar 's industri standard,0.75
134,may highest product valu 've ever seen,0.30556
135,'s one way kill michael myer good : stop buy ticket movi .,0.31944
136,lawyer,0.5
137,"forc heavy-hand ,",0.38889
138,endur intermiss,0.38889
139,valiantli mug way snow dog,0.47222
140,director . night shyamalan,0.59722
141,harsh realiti,0.44444
142,appropri feroc thought,0.77778
143,escapad demonstr adag good goos,0.44444
144,no-nonsens human be,0.63889
145,one problem,0.45833
146,musket,0.5
147,person horror,0.40278
148,effortless,0.8472200000000001
149,entir budget,0.5
150,scoop,0.5
151,demonstr emot clout sweep u.s. viewer feet,0.75
152,inexcus dumb innoc,0.26389
153,film extrem thorough .,0.66667
154,expos way fool one hour photo,0.52778
155,eddi murphi robert de niro,0.5
156,"accur say found intrigu , bizarr , dogma-lik spot - quit truth , way",0.54167
157,gerardo vera,0.5
158,mob tale,0.5
159,lazi,0.44444
160,report card : n't live exalt taglin -,0.22222
161,love hush !,0.625
162,( improvis mani month ),0.51389
163,evoc,0.68056
164,confus sudden final,0.23611
165,"though certainli origin form , altar boy requir tast swamp thing-typ anim , doubl deafen score .",0.4305600000000001
166,. wilco,0.48611
167,bo,0.52778
168,sometim beauti adapt,0.70833
169,family-friendli,0.73611
170,"low poorli play game absurd plot twist , idiot court maneuv stupid charact even freeman ca n't save .",0.4305600000000001
